id;Label_A1_positive;Label_A2_negative;Label_A3_neutral
947618361063731200;1;0;0
947616643185807360;0;0;1
947616217354907655;1;0;1
947615842577117184;0;1;0
947615045097107461;0;1;1
947614482431397888;0;0;1
947614160069840896;1;0;0
947613684934807553;1;0;0
947613395594948608;0;1;0
947613394164645888;0;1;0
947613337633816577;0;1;0
947613328427319296;0;1;0
947612904173522944;1;0;0
947612607397093376;0;0;1
947611831769722880;0;0;1
947611702874464258;1;0;0
947611670783852545;1;0;0
947610785605304321;0;0;1
947610289377239040;0;0;1
947609578929303552;1;0;0
947609060702027776;1;0;1
947608294956421120;0;0;1
947607313690562560;0;0;1
947604514667888645;0;0;1
947604120898117632;1;0;0
947604065478901761;1;0;0
947603443560181760;0;1;0
947603341076549637;1;0;0
947603293848637440;1;0;0
947603291839582209;1;0;1
947603260403343360;0;1;0
947602537418493952;1;0;0
947602346875305984;0;1;1
947601923623993344;1;0;1
947601180900728832;0;1;1
947600743757963270;0;1;0
947599992671256576;0;1;1
947599883191685120;0;0;1
947599760063594496;1;0;0
947599339484041217;0;0;1
947598961778491396;0;0;1
947598777774428160;1;0;0
947598192455151621;1;0;0
947598152655183872;1;0;0
947597703323770880;0;0;1
947597216906137600;0;1;0
947596293450469381;1;0;0
947595294497296384;0;0;1
947595253762154505;1;0;0
947593978810994688;1;0;0
947593964034707456;1;0;0
947592999248236545;0;0;1
947592199381835776;0;1;1
947591961346789382;0;0;1
947591182380617736;1;0;0
947590678476918785;0;0;1
947589939939758085;0;0;1
947588947231813633;1;0;0
947588574060384258;0;0;1
947588374117912577;1;0;0
947588184153739264;1;0;0
947588161810681856;0;1;1
947587702949666817;0;0;1
947587695236341762;0;0;1
947587667495075840;0;0;1
947587645114343425;0;0;1
947587629784158209;0;1;1
947586652133838855;1;0;0
947585644993417216;1;0;0
947585208152453120;1;0;0
947584752894300161;0;1;0
947583763265007617;0;0;1
947583731220533248;1;1;0
947583299865776128;1;0;0
947583128352194566;1;0;0
947583098077831168;1;1;1
947582875385368579;1;0;0
947582565107593218;0;0;1
947582042413387779;0;0;1
947581093028413440;0;0;1
947580611832811522;0;1;0
947580082515857408;0;0;1
947579360260784131;0;0;1
947578096105947136;0;0;1
947577411608174593;0;1;0
947575630509600775;0;0;1
947575579049648128;1;0;0
947575549446230016;0;0;1
947575409373216768;0;0;1
947575182046257152;0;0;1
947574671452536832;0;0;1
947574669678448640;0;1;0
947574667719700480;0;0;1
947574648933421057;0;0;1
947574615311777796;1;0;1
947574422302613507;1;0;0
947574409883213830;0;0;1
947574083771879426;0;0;1
947573939710111744;1;0;0
947573741403496449;0;0;1
947573561140695041;1;0;0
947573372292096000;0;0;1
947573166574112768;0;0;1
947572683495170049;0;1;1
947572613316005899;0;0;1
947572185627013120;0;0;1
947570650310434816;0;0;1
947570053913894912;0;1;0
947569643476209664;0;0;1
947569409329188865;0;0;1
947568798529409029;1;0;0
947567538153680896;1;0;0
947566190163087361;1;0;0
947566027100995584;0;1;0
947565511654690818;1;0;0
947565123840958464;1;0;0
947564906320146432;0;0;1
947564399790837760;1;0;0
947563971875344385;1;0;0
947563398891474945;0;0;1
947563356835196930;0;0;1
947562996020150272;1;0;0
947562358020255745;1;0;0
947561972555333632;0;0;1
947561656632057857;1;0;0
947560761613869057;1;0;0
947559967556538369;0;0;1
947559535731863553;0;1;0
947559233213620224;0;0;1
947559088229179395;0;0;1
947558907718914049;0;0;1
947558327801864192;1;0;0
947556930419118082;1;0;0
947555446784712704;1;0;0
947554719693541376;0;0;1
947553872998010885;0;1;0
947553872045838336;0;0;1
947553067829829632;0;0;1
947552939480055808;0;1;0
947552929690595328;0;1;1
947551707902431232;0;0;1
947551335045648387;1;0;0
947550965569327104;1;0;1
947549756657733632;0;1;0
947547422338748417;1;0;0
947546664901935110;1;1;0
947546225494122496;0;1;0
947545890750980103;1;0;0
947545729232441344;1;1;0
947545302462025733;0;1;0
947544146503520262;0;0;1
947544134738497536;0;0;1
947543939443298306;1;0;0
947543939195789313;1;1;0
947543923358162944;1;0;0
947543114658566145;1;0;0
